Fecha;Casos registrados Ciudad de C�rdoba (acumulado);Casos registrados Provincia de C�rdoba (acumulado);Fallecidos Provincia de C�rdoba (acumulado);Nuevos casos registrados Ciudad de C�rdoba;Nuevos casos registrados Provincia de C�rdoba;Notas al pie
21/5/2020;237;445;27;10;12;-
22/5/2020;245;454;28;8;9;-
23/5/2020;245;454;28;0;0;-
24/5/2020;249;459;28;4;5;-
25/5/2020;251;462;29;2;3;-
26/5/2020;252;463;29;1;1;-
27/5/2020;252;463;30;0;0;-
28/5/2020;252;462;30;1;1;1
29/5/2020;252;460;30;0;0;2
30/5/2020;252;459;30;0;0;3
31/5/2020;252;460;30;0;1;-
1/6/2020;252;460;31;0;0;-
2/6/2020;252;462;31;0;2;-
3/6/2020;252;463;32;0;1;-
4/6/2020;254;465;32;2;2;-
5/6/2020;255;467;33;1;2;-
6/6/2020;255;467;33;0;0;-
7/6/2020;255;466;33;0;0;4
8/6/2020;256;467;33;1;1;-
9/6/2020;256;469;33;0;2;-
10/6/2020;260;474;33;4;5;-
11/6/2020;262;477;33;2;3;-
12/6/2020;272;486;34;10;10;5
13/6/2020;277;492;34;5;6;-
14/6/2020;281;498;35;4;6;-
15/6/2020;282;500;36;1;2;-
16/6/2020;282;501;36;0;1;-
17/6/2020;283;507;36;1;6;-
18/6/2020;286;516;36;3;9;-
19/6/2020;297;535;36;11;19;-
20/6/2020;302;555;36;5;20;-
21/6/2020;309;568;36;7;13;-
22/6/2020;316;579;36;7;11;-
23/6/2020;325;602;37;6;19;6
24/6/2020;325;604;37;0;2;-
25/6/2020;328;610;37;3;6;-
26/6/2020;333;616;37;5;8;7
27/6/2020;333;633;37;0;17;-
28/6/2020;333;638;37;0;5;-
29/6/2020;334;640;38;1;1;8
30/6/2020;336;651;38;3;12;9
1/7/2020;338;662;38;2;11;-
2/7/2020;340;670;38;2;8;-
3/7/2020;340;678;38;0;8;-
4/7/2020;342;690;38;2;13;10
5/7/2020;348;704;38;6;14;-
6/7/2020;365;746;38;17;40;11
7/7/2020;383;780;38;18;34;-
8/7/2020;399;801;38;16;21;-
9/7/2020;416;828;38;17;27;-
10/7/2020;435;854;38;19;26;-
11/7/2020;455;884;38;18;29;12
12/7/2020;477;934;38;21;49;13
13/7/2020;503;962;38;25;27;14
14/7/2020;526;1008;38;22;45;15
15/7/2020;539;1023;38;13;15;-
16/7/2020;556;1061;38;17;38;-
17/7/2020;580;1110;39;23;48;16
18/7/2020;612;1198;39;32;87;17
19/7/2020;653;1275;40;39;76;18
20/7/2020;669;1314;40;16;39;-
21/7/2020;685;1372;42;14;54;19
22/7/2020;703;1459;42;16;83;20
23/7/2020;752;1561;42;45;99;21
24/7/2020;780;1617;43;29;56;-
25/7/2020;800;1687;43;19;65;22
26/7/2020;851;1767;44;51;79;23
27/7/2020;877;1866;44;25;97;24
28/7/2020;898;1941;46;21;73;25
29/7/2020;947;2052;46;45;107;26
30/7/2020;975;2143;47;28;90;27
31/7/2020;1004;2252;49;29;106;28
